,,BB,GA,,,
,,,,,,
,,BB - ES BATU,,,,
,,BB - TELUR AYAM,AT - AKRILIK KULKAS,,,
,,BH - PISANG,AT - ALAT PEMBERSIH KACA IKEA,,,
,,BK - KOEPOE-KOEPOE SODA KUE,AT - ALAT PERKAKAS IKEA,,,
,,BR - ANCHOR SALTED 2KG,AT - AYAKAN TEPUNG,,,
,,BR - BLUEBAND MASTER,AT - BANGKU PLASTIK,,,
,,"BR - WYSMAN 2,27 KG",AT - BASKOM 36,,,
,,BU - DOLPHIN GARAM 1KG,AT - BOTOL PUMP,,,
,,EE - WILTON COKLAT 1000ML,AT - BOTOL SEMPROTAN,,,AT - KUAS SANNENG SN41194
,,FG - STRAWBERRY GL 1KG,AT - BOX CONTAINER 2066 BIRU,,,AT - SAPU NAGATA 0717
,,GA - CASTOR 1KG,AT - BOX CONTAINER SAMLA 65 LITER,,,BR - AU 200GR
,,GA - GMP GULA PASIR 1KG,"AT - BOX SET GLOVES, HAIRNET & ROLL GANTUNG",,,KS - LABEL ISIAN
,,IN - WC,AT - DISPENSER TISSU,,,
,,IN - WS,AT - EMBER SESUAI WARNA KAIN,,,
,,IR - HERCULES BAKING POWDER,AT - GAGANG PEL KRISBOW,,,
,,IR - SP RYOTO,AT - GAGANG PEL TORNADO MOP,,,
,,KS - BEST FRESH BAKING PAPER,AT - GAGANG TARIKAN LOYANG,,,
,,MK - TROPICAL 2 LITER,AT - GAYUNG,,,
,,PG - BOX XL,AT - GELAS TAKAR 2 LITER,,,PG - PLASTIK 18X25
,,PG - KANTONG PLASTIK LOCO 40,AT - GELAS TAKAR 3 LITER,,,
,,PG - OPP ROTI MANIS ,AT - KAIN PEL REFIL PUTIH BULAT,,,
,,PG - PLASTIK BAWANG 2 KG,AT - KANEBO,,,
,,PG - PLASTIK UK. 18X25,AT - KAPE,,,
,,PG - PLASTIK WRAPPING 40,AT - KARET LANTAI ANTI SLIP,,,
,,PG - REFILL LABEL 2 BARIS,AT - KESET LANTAI PVC,,,
,,PG - TATAKAN KUE 25,AT - KEYBOARD SET WIRELESS LOGITECH,,,
,,PX - MANIS,"AT - KIPAS ANGIN DINDING 16""",,,
,,PX - TAB,"AT - KIPAS ANGIN REGENCY 18""",,,
,,PX - BR,AT - KITCHEN TIMER,,,
,,SG - BATERAI ENERGIZER AA,AT - KOTAK P3K,,,
,,SG - BATERAI ENERGIZER AAA,AT - KUAS SANNENG - SN41104,,,
,,SG - KAIN LAP,AT - KUAS SILICONE,,,
,,SG - MASKER EARLOOP,AT - LOGITECH MOUSE,,,ATK - LAKBAN BESAR
,,SG - NURSE CAP,AT - LOYANG BOLU PISANG,,,ATK - LAKBAN KECIL 
,,SG - PLASTIK SAMPAH 80X100,AT - LOYANG LAPIS LEGIT,,,ATK - PULPEN 
,,SG - REFILL ROLL BAJU,AT - LOYANG LAPIS SURABAYA,,,
,,SG - SARUNG TANGAN LATEX HITAM UK. L,AT - LOYANG NON STIK 60x40,,,
,,SG - TALI RAFIA,AT - LOYANG SIFON LURUS,,,
,,SU - NU PER KG ,AT - MAGNET PISAU,,,
,,TG - MAIZENAKU,AT - MANGKUK BUMBU 12CM,,,
,,TPG - GSS,AT - MANGKUK BUMBU 14CM,,,
,,TG - CAKRA KEMBAR EMAS,AT - MANGKUK ZEBRA 27CM,,,
,,TG - CAKRA KEMBAR EMAS 1KG,AT - PALLET NPK 1005S,,,
,,TG - GANDUM KASAR,AT - PEMATIK GAS,,,
,,TG - GOLDEN EAGLE,AT - PEMBUKA KALENG VICTORINOX,,,
,,TG - KETAN ROSE BRAND,AT - PENGASAH PISAU,,,
,,TG - MAIZENAKU,AT - PENGKI NAGATA,,,
,,TG - RAP,AT - PISAU TAWAR,,,
,,TG - ROTI PRIMERA PANCO,AT - PISAU VICTORINOX,,,
,,TG - ROTI PRIMERA PANCO 500GR,AT - RAKET NYAMUK KRISBOW,,,
,,TG - SEGITIGA,AT - REFIL TORNADO MOP,,,
,,TG - SEGITIGA 1KG,AT - ROLL ADONAN,,,
,,,AT - ROLL BAJU,,,
,,,AT - SAPU LIDI GAGANG,,,
,,,AT - SAPU LIDI OVEN,,,
,,,AT - SAPU NAGATA,,,
,,,AT - SAPU SARANG LABA-LABA,,,
,,,AT - SARINGAN GREASE TRAP,,,
,,,AT - SARUNG TANGAN CUCI UK. L,,,
,,,AT - SCRAPER - SN4052,,,
,,,AT - SEKOP STAINLESS,,,
,,,AT - SELANG BENANG TOYO 5/8,,,
,,,AT - SENDOK ELEGANT,,,
,,,AT - SIGN HATI-HATI LANTAI LICIN,,,
,,,AT - SIKAT CUCI NAGATA,,,
,,,AT - SIKAT LANTAI BERGAGANG,,,
,,,AT - SOAP DISPENSER KRISBOW,,,
,,,AT - SPATULA MALAYSIA BESAR,,,
,,,AT - SPATULA MALAYSIA KECIL,,,
,,,AT - STAINLESS STEEL COOLING RACK,,,
,,,AT - TALENAN,,,
,,,AT - TEMPAT PULPEN,,,
,,,AT - THERMOMETER GUN,,,
,,,AT - TIMBANGAN 30 KG,,,
,,,AT - TIMBANGAN BUMBU ACIS 5 KG,,,
,,,AT - TIRAI PLASTIK PVC,,,
,,,AT - TONG AIR 60L,,,
,,,AT - TONG SAMPAH SEDANG 80 LITER,,,
,,,AT - TROLLEY ROTI 15 SUSUN,,,
,,,AT - TUTUP BOX 2666 BIRU,,,
,,,AT - WALL CLOCK,,,
,,,AT - WHISKS SANNENG,,,
,,,ATK - GUNTING PRODUKSI,,,
,,,ATK - LAKBAN BESAR,,,
,,,ATK - LAKBAN KECIL,,,
,,,ATK - PENGGARIS BESI,,,
,,,ATK - PULPEN,,,
,,,ATK - SPIDOL PERMANENT G-12,,,
,,,ATK - TAPE DISPENSER LAKBAN,,,
,,,ATK - TAPE DISPENSER SOLATIP,,,
,,,SN - PEL LANTAI LEMON ,,,
,,,SN - KAPORIT ,,,
,,,SN - SABUN COLEK EKONOMI,,,
,,,SN - SABUN CUCI TANGAN,,,
,,,SN - KAMPER,,,
,,,SN - VIXAL,,,
,,,SN - VANISH REFILL,,,
,,,SN - RINSO BUBUK,,,
,,,SN - CLING REFILL,,,
,,,SABUT CUCI PIRING,,,
,,,SN - SPONS CUCI PIRING 3M,,,
