,,Isian,,BB,,GA
,,IN - BA,,BB - TELUR AYAM,,AT - AKRILIK KULKAS
,,IN - BG,,BK - SMOKED PAPRIKA POWDER 1KG,,AT - ALAT PERKAKAS IKEA
,,IN - BK,,BH - PISANG,,AT - BASKOM 36
,,IN - BS,,BR - ANCHOR SALTED 2KG,,AT - BOX CONTAINER 2066 BIRU
,,IN - CB,,BR - ANCHOR UNSALTED,,AT - BOX CONTAINER SAMLA 22 LITER
,,IN - CC,,BR - BLUEBAND MASTER 1KG,,"AT - BOX SET GLOVES, HAIRNET & ROLL GANTUNG"
,,IN - CCB,,BR - MALINDA 2KG,,AT - EMBER SESUAI WARNA KAIN
,,IN - CE,,BR - R.E.F 2KG,,AT - FOODPAN BENING 1/4x 10 CM
,,IN - CF,,BU - DOLPHIN GARAM 1KG,,AT - FOODPAN BENING 1/9
,,IN - CJ,,CP - BEST FRESH KINCIR BULAT 8 CM,,AT - FOODPAN SS 1/2x10 CM
,,IN - CJM,,CP - BEST FRESH KINCIR LONJONG,,AT - GAGANG PEL KRISBOW
,,IN - CKK,,CT - TULIP MESES CHOC RICE 5 KG,,AT - GAGANG PEL TORNADO MOP
,,IN - CN,,DN - OREGANO 250GR,,AT - GAGANG TARIKAN LOYANG
,,IN - DG,,FN - MAKARONI,,AT - GANTUNGAN S (XL)
,,IN - JM,,FN - RISOL MAYO,,AT - GAYUNG
,,IN - KA,,FN - SUNNYGOLD SOSIS 12PCS,,AT - GELAS TAKAR 2 LITER
,,IN - KB,,GA - CASTOR 1KG,,AT - GELAS TAKAR 3 LITER
,,IN - KCM,,GA - GMP GULA PASIR 1KG,,AT - KAIN PEL REFIL PUTIH BULAT
,,IN - KCM PA,,KJ - ANCHOR PARMESAN 250GR,,AT - KANEBO
,,IN - KI,,KJ - CHEESY MOZZARELLA 250GR,,AT - KAPE
,,IN - KM,,KJ - PROCHIZ GOLD 2KG,,AT - KARET LANTAI ANTI SLIP
,,IN - KT,,KS - BEST FRESH BAKING PAPER,,AT - KEYBOARD SET WIRELESS LOGITECH
,,IN - MA,,KS - KERTAS PIA,,"AT - KIPAS ANGIN DINDING 16"""
,,IN - MP,,MK - FILMA GOODFRY,,AT - KOTAK P3K
,,IN - SB,,MK - LILY FLOWER SALAD OIL 3LTR,,AT - KUAS SANNENG - SN4117
,,IN - SL,,MK - TROPICAL 2 LITER,,AT - KUAS SILICONE
,,IN - SN,,PG - OPP ROTI TAWAR,,AT - LOCK&LOCK FOOD CONTAINER 10 LITER
,,IN - SS,,PX - MANIS,,AT - LOYANG NON STIK 60x40
,,IN - TR,,PX - PIA,,AT - LOYANG TAWAR NON STIK
,,TPG - BK,,PX - TAWAR BABON,,AT - MAGNET PISAU
,,TPG - KT,,PX - TAWAR BIASA,,AT - MANGKUK BUMBU 12CM
,,TPG - SAM,,PX - TAWAR BUTTER,,AT - NAMPAN TIRISAN GORENGAN
,,TPG - SL,,PX - TAWAR GANDUM,,AT - ONE GLOVE
,,TPG - SN,,SR - PAPRIKA,,AT - PALLET NPK 1005S
,,FN - RISOL MAYO,,SR - TOMAT,,AT - PANCI BIMA X1 30CM
,,FN - MAKARONI,,SS - SAUS TOMATO PASTE WILMOND 500GR,,AT - PAPAN TULIS
,,FN - WC (WASSANT COKELAT),,SS - TOMAT DEL MONTE 5.7LTR,,AT - PARUTAN KEJU
,,FN - WS (WASSANT SUSU),,TG - CAKRA KEMBAR EMAS 1KG,,AT - PEMATIK GAS
,,,,TG - ROTI PRIMERA PANCO 500GR,,AT - PEMBUKA KALENG VICTORINOX
,,,,TG - SEGITIGA 1KG,,AT - PENGASAH PISAU
,,,,TPG - ABON AYAM ORIGINAL,,AT - PENGKI NAGATA
,,,,TPG - ABON AYAM PEDAS,,AT - PISAU TAWAR
,,,,TPG - ABON SAPI MANIS 1KG,,AT - PLASTIK COVER TROLI
,,,,TPG - ABON SAPI PEDAS 1KG,,AT - ROLL ADONAN
,,,,TPG - CRANBERRY,,AT - ROLL BAJU
,,,,TPG - GARAM SEA SALT,,AT - SAPU LIDI OVEN
,,,,TPG - KELAPA KERING 250GR,,AT - SAPU NAGATA
,,,,TPG - KISMIS,,AT - SAPU SARANG LABA-LABA
,,,,TPG - WIJEN HITAM 250GR,,AT - SARINGAN GORENGAN
,,,,TPG - WIJEN PUTIH 250GR,,AT - SARINGAN GREASE TRAP
,,,,BB - ES BATU,,AT - SARINGAN MINYAK
,,,,DN - PARSLEY 25GR,,AT - SARUNG TANGAN CUCI UK. L
,,,,SG - PLASTIK SAMPAH 80X100,,AT - SCRAPER - SN4052
,,,,PG - PLASTIK BAWANG 2 KG,,AT - SEKOP STAINLESS
,,,,PG - PLASTIK BAWANG 60 X 100,,AT - SELANG BENANG TOYO 5/8
,,,,PG - PLASTIK SEGITIGA BESAR,,AT - SENDOK ELEGANT
,,,,PG - PLASTIK UK. 18X25,,AT - SIGN HATI-HATI LANTAI LICIN
,,,,PG - PLASTIK UK. 40X60,,AT - SPATULA MALAYSIA BESAR
,,,,PG - PLASTIK VACUM 12x20,,AT - SPATULA MALAYSIA KECIL
,,,,PG - PLASTIK VACUM 15x20,,AT - SPATULA NYLON TANICA (PIA)
,,,,PG - PLASTIK WRAPPING 35,,AT - STAINLESS STEEL COOLING RACK
,,,,PG - PLASTIK WRAPPING 40,,AT - TALENAN
,,,,PG - PLASTIK WRAPPING BARANG,,AT - TEFLON PIA
